X Y U V
125.786397 48.750000 -0.003875 -0.002785
125.786397 49.250000 -0.002747 -0.001244
125.786397 49.750000 -0.003083 -0.000206
125.786397 50.250000 -0.001617 -0.000289
125.786397 50.750000 -0.002271 -0.000614
125.786397 51.250000 -0.001827 -0.000110
125.786397 51.750000 -0.001780 0.000028
125.786397 52.250000 -0.001883 0.000338
125.786397 52.750000 -0.001677 0.000565
125.786397 53.250000 -0.001825 0.000763
125.786397 53.750000 -0.001422 0.001084
125.786397 54.250000 -0.001424 0.000800
125.786397 54.750000 -0.001650 0.000457
125.786397 55.250000 -0.001966 -0.000333
125.786397 55.750000 -0.001984 0.000174
125.786397 56.250000 -0.002321 0.000816
125.786397 56.750000 -0.001745 0.000841
125.786397 57.250000 -0.002533 -0.000071
125.786397 57.750000 -0.002900 0.000851
125.786397 58.250000 -0.001214 0.000205
125.786397 58.750000 -0.001590 -0.000677
125.786397 59.250000 -0.001711 -0.000028
125.786397 59.750000 -0.001097 0.000012
125.786397 60.250000 -0.002217 0.001533
125.786397 60.750000 -0.001404 0.001554
126.286541 44.750000 -0.003958 0.000651
126.286541 45.250000 -0.002847 0.000083
126.286541 45.750000 -0.002449 -0.000465
126.286541 46.250000 -0.002285 -0.000406
126.286541 46.750000 -0.002300 -0.000663
126.286541 47.250000 -0.002039 0.000042
126.286541 47.750000 -0.001644 0.000261
126.286541 48.250000 -0.001461 0.000032
126.286541 48.750000 -0.001286 -0.000136
126.286541 49.250000 -0.000867 -0.000072
126.286541 49.750000 -0.000790 0.000023
126.286541 50.250000 -0.000609 0.000231
126.286541 50.750000 -0.000468 0.000309
126.286541 51.250000 -0.000518 0.000228
126.286541 51.750000 -0.000331 0.000059
126.286541 52.250000 -0.000385 -0.000078
126.286541 52.750000 -0.000581 0.000117
126.286541 53.250000 -0.000303 0.000168
126.286541 53.750000 -0.000415 0.000264
126.286541 54.250000 -0.000198 0.000321
126.286541 54.750000 -0.000076 0.000445
126.286541 55.250000 -0.000258 0.000338
126.286541 55.750000 -0.000575 0.000283
126.286541 56.250000 -0.000675 0.000313
126.286541 56.750000 -0.000393 0.000350
126.286541 57.250000 -0.000536 0.000329
126.286541 57.750000 -0.000795 0.000248
126.286541 58.250000 -0.000406 -0.000074
126.286541 58.750000 -0.000712 -0.000135
126.286541 59.250000 -0.000933 -0.000121
126.286541 59.750000 -0.000842 -0.000085
126.286541 60.250000 -0.000947 -0.000041
126.286541 60.750000 -0.001226 -0.000127
126.286541 61.250000 -0.001944 0.000072
126.286541 61.750000 -0.001827 0.000301
126.286541 62.250000 -0.002751 0.000160
126.286541 62.750000 -0.002558 0.001982
126.286541 63.250000 -0.002306 0.001492
126.786686 43.250000 -0.002410 -0.001433
126.786686 43.750000 -0.002288 -0.001530
126.786686 44.250000 -0.001975 -0.000169
126.786686 44.750000 -0.001278 0.000040
126.786686 45.250000 -0.001103 0.000213
126.786686 45.750000 -0.000511 0.000242
126.786686 46.250000 -0.000663 0.000335
126.786686 46.750000 -0.000479 0.000548
126.786686 47.250000 -0.000358 0.000385
126.786686 47.750000 -0.000239 0.000313
126.786686 48.250000 -0.000194 0.000338
126.786686 48.750000 -0.000065 0.000230
126.786686 49.250000 -0.000151 0.000261
126.786686 49.750000 -0.000172 0.000237
126.786686 50.250000 -0.000123 0.000235
126.786686 50.750000 -0.000012 0.000241
126.786686 51.250000 0.000048 0.000281
126.786686 51.750000 0.000147 0.000287
126.786686 52.250000 0.000055 0.000388
126.786686 52.750000 -0.000125 0.000167
126.786686 53.250000 0.000029 0.000068
126.786686 53.750000 -0.000025 0.000241
126.786686 54.250000 0.000036 0.000239
126.786686 54.750000 0.000169 0.000241
126.786686 55.250000 0.000166 0.000294
126.786686 55.750000 -0.000038 0.000268
126.786686 56.250000 -0.000012 0.000185
126.786686 56.750000 0.000184 0.000086
126.786686 57.250000 0.000081 0.000147
126.786686 57.750000 0.000182 0.000155
126.786686 58.250000 0.000235 0.000292
126.786686 58.750000 0.000069 0.000352
126.786686 59.250000 0.000102 0.000276
126.786686 59.750000 -0.000099 0.000173
126.786686 60.250000 0.000051 0.000083
126.786686 60.750000 -0.000169 0.000060
126.786686 61.250000 -0.000257 0.000191
126.786686 61.750000 -0.000413 0.000163
126.786686 62.250000 -0.000690 0.000398
126.786686 62.750000 -0.000582 0.000343
126.786686 63.250000 -0.000864 0.000578
126.786686 63.750000 -0.001204 0.000268
126.786686 64.250000 -0.002185 0.000546
126.786686 64.750000 -0.002164 0.000673
126.786686 65.250000 -0.003106 0.000235
126.786686 65.750000 -0.004086 -0.000108
127.286831 41.250000 -0.001530 -0.001737
127.286831 41.750000 -0.002761 -0.001801
127.286831 42.250000 -0.001875 -0.000347
127.286831 42.750000 -0.001756 -0.000171
127.286831 43.250000 -0.000978 0.000033
127.286831 43.750000 -0.000760 0.000167
127.286831 44.250000 -0.000726 0.000203
127.286831 44.750000 -0.000355 0.000333
127.286831 45.250000 -0.000238 0.000081
127.286831 45.750000 -0.000342 0.000242
127.286831 46.250000 -0.000221 0.000380
127.286831 46.750000 -0.000087 0.000458
127.286831 47.250000 0.000064 0.000506
127.286831 47.750000 -0.000066 0.000504
127.286831 48.250000 0.000212 0.000365
127.286831 48.750000 0.000116 0.000370
127.286831 49.250000 0.000026 0.000292
127.286831 49.750000 -0.000124 0.000234
127.286831 50.250000 0.000056 0.000242
127.286831 50.750000 -0.000057 0.000285
127.286831 51.250000 0.000101 0.000245
127.286831 51.750000 0.000090 0.000487
127.286831 52.250000 0.000086 0.000398
127.286831 52.750000 0.000160 0.000415
127.286831 53.250000 -0.000009 0.000303
127.286831 53.750000 -0.000040 0.000203
127.286831 54.250000 -0.000012 0.000256
127.286831 54.750000 0.000191 0.000224
127.286831 55.250000 0.000149 0.000216
127.286831 55.750000 0.000006 0.000220
127.286831 56.250000 0.000008 0.000147
127.286831 56.750000 0.000255 0.000108
127.286831 57.250000 0.000018 0.000020
127.286831 57.750000 0.000069 0.000174
127.286831 58.250000 0.000201 0.000292
127.286831 58.750000 0.000182 0.000123
127.286831 59.250000 0.000253 0.000109
127.286831 59.750000 0.000164 0.000088
127.286831 60.250000 0.000119 0.000089
127.286831 60.750000 0.000101 0.000179
127.286831 61.250000 0.000040 0.000140
127.286831 61.750000 0.000120 0.000164
127.286831 62.250000 0.000059 -0.000013
127.286831 62.750000 0.000094 0.000110
127.286831 63.250000 0.000061 0.000184
127.286831 63.750000 0.000132 0.000332
127.286831 64.250000 -0.000175 0.000306
127.286831 64.750000 -0.000466 0.000527
127.286831 65.250000 -0.000558 0.000545
127.286831 65.750000 -0.001110 0.000402
127.286831 66.250000 -0.001737 0.000366
127.286831 66.750000 -0.002158 0.000359
127.286831 67.250000 -0.003054 0.000309
127.286831 67.750000 -0.003384 0.001348
127.286831 68.250000 -0.005266 -0.000398
127.786975 39.250000 -0.002248 -0.001660
127.786975 39.750000 -0.002209 -0.001083
127.786975 40.250000 -0.002560 -0.000179
127.786975 40.750000 -0.001848 -0.000021
127.786975 41.250000 -0.001194 -0.000161
127.786975 41.750000 -0.000916 0.000110
127.786975 42.250000 -0.000557 0.000020
127.786975 42.750000 -0.000248 -0.000069
127.786975 43.250000 -0.000384 0.000071
127.786975 43.750000 -0.000157 0.000264
127.786975 44.250000 -0.000103 0.000245
127.786975 44.750000 0.000084 0.000125
127.786975 45.250000 0.000070 0.000305
127.786975 45.750000 -0.000108 0.000346
127.786975 46.250000 0.000051 0.000459
127.786975 46.750000 -0.000004 0.000306
127.786975 47.250000 0.000031 0.000338
127.786975 47.750000 0.000163 0.000259
127.786975 48.250000 0.000296 0.000360
127.786975 48.750000 0.000136 0.000297
127.786975 49.250000 0.000118 0.000356
127.786975 49.750000 0.000051 0.000295
127.786975 50.250000 -0.000025 0.000232
127.786975 50.750000 -0.000048 0.000343
127.786975 51.250000 0.000003 0.000399
127.786975 51.750000 0.000057 0.000302
127.786975 52.250000 0.000019 0.000336
127.786975 52.750000 0.000031 0.000357
127.786975 53.250000 0.000179 0.000325
127.786975 53.750000 0.000033 0.000244
127.786975 54.250000 0.000035 0.000112
127.786975 54.750000 0.000114 0.000123
127.786975 55.250000 0.000146 0.000221
127.786975 55.750000 -0.000058 0.000240
127.786975 56.250000 -0.000004 0.000263
127.786975 56.750000 0.000258 0.000364
127.786975 57.250000 0.000171 0.000299
127.786975 57.750000 0.000002 0.000355
127.786975 58.250000 0.000157 0.000180
127.786975 58.750000 0.000333 0.000264
127.786975 59.250000 0.000265 0.000170
127.786975 59.750000 0.000113 0.000287
127.786975 60.250000 0.000136 0.000321
127.786975 60.750000 0.000087 0.000243
127.786975 61.250000 0.000023 0.000327
127.786975 61.750000 0.000111 0.000284
127.786975 62.250000 0.000078 0.000207
127.786975 62.750000 0.000110 0.000199
127.786975 63.250000 -0.000028 0.000221
127.786975 63.750000 0.000183 0.000361
127.786975 64.250000 -0.000097 0.000512
127.786975 64.750000 0.000094 0.000552
127.786975 65.250000 0.000214 0.000436
127.786975 65.750000 0.000372 0.000407
127.786975 66.250000 -0.000168 0.000300
127.786975 66.750000 -0.000274 0.000189
127.786975 67.250000 -0.000574 0.000161
127.786975 67.750000 -0.001026 0.000210
127.786975 68.250000 -0.001393 0.000172
127.786975 68.750000 -0.001671 0.000308
127.786975 69.250000 -0.002029 0.000486
127.786975 69.750000 -0.001988 0.000107
127.786975 70.250000 -0.004274 -0.001286
128.287120 37.750000 -0.002773 -0.002702
128.287120 38.250000 -0.001502 -0.001460
128.287120 38.750000 -0.001776 -0.000368
128.287120 39.250000 -0.001187 0.000003
128.287120 39.750000 -0.000773 0.000026
128.287120 40.250000 -0.000608 -0.000293
128.287120 40.750000 -0.000477 -0.000107
128.287120 41.250000 -0.000230 0.000199
128.287120 41.750000 -0.000201 0.000220
128.287120 42.250000 0.000178 0.000233
128.287120 42.750000 -0.000023 0.000349
128.287120 43.250000 -0.000129 0.000395
128.287120 43.750000 0.000052 0.000303
128.287120 44.250000 0.000130 0.000265
128.287120 44.750000 0.000085 0.000245
128.287120 45.250000 -0.000015 0.000271
128.287120 45.750000 -0.000158 0.000232
128.287120 46.250000 0.000045 0.000325
128.287120 46.750000 -0.000015 0.000337
128.287120 47.250000 0.000125 0.000399
128.287120 47.750000 0.000177 0.000386
128.287120 48.250000 0.000182 0.000406
128.287120 48.750000 0.000288 0.000506
128.287120 49.250000 0.000006 0.000397
128.287120 49.750000 0.000171 0.000295
128.287120 50.250000 -0.000086 0.000322
128.287120 50.750000 -0.000177 0.000403
128.287120 51.250000 0.000119 0.000332
128.287120 51.750000 0.000155 0.000292
128.287120 52.250000 0.000186 0.000169
128.287120 52.750000 0.000082 0.000127
128.287120 53.250000 0.000225 0.000175
128.287120 53.750000 -0.000089 0.000213
128.287120 54.250000 0.000058 0.000252
128.287120 54.750000 0.000099 0.000378
128.287120 55.250000 0.000040 0.000321
128.287120 55.750000 0.000177 0.000352
128.287120 56.250000 -0.000031 0.000232
